IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
104.19.177.82,443,true,DME,Europe,Moscow,151 мс
104.19.181.73,443,true,DME,Europe,Moscow,139 мс
104.19.181.72,443,true,RIX,Europe,Riga,146 мс
104.19.188.55,443,true,DME,Europe,Moscow,189 мс
104.19.185.47,443,true,DME,Europe,Moscow,191 мс
104.19.185.51,443,true,DME,Europe,Moscow,191 мс
104.19.185.49,443,true,DME,Europe,Moscow,203 мс
104.19.185.33,443,true,DME,Europe,Moscow,203 мс
104.19.185.46,443,true,DME,Europe,Moscow,215 мс
104.19.189.18,443,true,DME,Europe,Moscow,138 мс
104.19.189.17,443,true,DME,Europe,Moscow,138 мс
104.19.189.9,443,true,DME,Europe,Moscow,139 мс
104.19.189.16,443,true,DME,Europe,Moscow,139 мс
104.19.189.14,443,true,DME,Europe,Moscow,140 мс
104.19.189.15,443,true,DME,Europe,Moscow,141 мс
104.19.189.21,443,true,DME,Europe,Moscow,142 мс
104.19.189.34,443,true,DME,Europe,Moscow,143 мс
104.19.192.37,443,true,DME,Europe,Moscow,143 мс
104.19.189.11,443,true,RIX,Europe,Riga,145 мс
104.19.189.47,443,true,DME,Europe,Moscow,146 мс
104.19.189.13,443,true,DME,Europe,Moscow,155 мс
104.19.189.12,443,true,DME,Europe,Moscow,155 мс
104.19.192.27,443,true,DME,Europe,Moscow,155 мс
104.19.189.10,443,true,DME,Europe,Moscow,160 мс
104.19.192.254,443,true,DME,Europe,Moscow,139 мс
104.19.193.94,443,true,DME,Europe,Moscow,139 мс
104.19.195.235,443,true,DME,Europe,Moscow,141 мс
104.19.193.92,443,true,RIX,Europe,Riga,145 мс
104.19.192.244,443,true,DME,Europe,Moscow,147 мс
104.19.192.242,443,true,DME,Europe,Moscow,152 мс
104.19.192.243,443,true,DME,Europe,Moscow,162 мс
104.19.193.93,443,true,DME,Europe,Moscow,162 мс
104.19.193.1,443,true,DME,Europe,Moscow,171 мс
104.19.196.232,443,true,DME,Europe,Moscow,138 мс
104.19.196.229,443,true,DME,Europe,Moscow,139 мс
104.19.196.238,443,true,DME,Europe,Moscow,143 мс
104.19.196.220,443,true,DME,Europe,Moscow,144 мс
104.19.196.223,443,true,DME,Europe,Moscow,154 мс
104.19.196.228,443,true,DME,Europe,Moscow,154 мс
104.19.196.226,443,true,DME,Europe,Moscow,156 мс
104.20.19.23,443,true,AMS,Europe,Amsterdam,1605 мс
104.20.19.22,443,true,AMS,Europe,Amsterdam,1605 мс
104.20.19.14,443,true,AMS,Europe,Amsterdam,1622 мс
104.20.19.13,443,true,AMS,Europe,Amsterdam,1623 мс
104.20.19.11,443,true,AMS,Europe,Amsterdam,1624 мс
104.20.18.249,443,true,AMS,Europe,Amsterdam,1641 мс
104.20.22.230,443,true,AMS,Europe,Amsterdam,1425 мс
104.20.22.233,443,true,AMS,Europe,Amsterdam,1426 мс
104.20.37.233,443,true,AMS,Europe,Amsterdam,199 мс
104.20.37.249,443,true,AMS,Europe,Amsterdam,199 мс
104.20.37.225,443,true,AMS,Europe,Amsterdam,204 мс
104.20.34.175,443,true,AMS,Europe,Amsterdam,300 мс
104.20.37.209,443,true,AMS,Europe,Amsterdam,331 мс
104.20.37.176,443,true,AMS,Europe,Amsterdam,1371 мс
104.20.37.177,443,true,AMS,Europe,Amsterdam,1372 мс
104.20.37.179,443,true,AMS,Europe,Amsterdam,1373 мс
104.20.37.189,443,true,AMS,Europe,Amsterdam,1373 мс
104.20.38.153,443,true,AMS,Europe,Amsterdam,163 мс
104.20.41.162,443,true,AMS,Europe,Amsterdam,164 мс
104.20.41.166,443,true,AMS,Europe,Amsterdam,168 мс
