IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.23.101,443,443,true,FRA,Europe,Frankfurt,373,7.07
141.148.236.84,443,443,true,FRA,Europe,Frankfurt,341,7.07
89.168.89.148,443,443,true,FRA,Europe,Frankfurt,244,7.05
158.101.222.231,443,443,true,FRA,Europe,Frankfurt,262,7.04
141.147.62.186,443,443,true,FRA,Europe,Frankfurt,305,7.00
89.168.116.109,443,443,true,FRA,Europe,Frankfurt,280,6.99
129.159.240.136,443,443,true,FRA,Europe,Frankfurt,227,6.96
84.8.146.91,443,443,true,FRA,Europe,Frankfurt,393,6.95
152.70.58.102,443,443,true,FRA,Europe,Frankfurt,238,6.95
152.70.190.111,443,443,true,FRA,Europe,Frankfurt,180,6.92
152.70.58.12,443,443,true,FRA,Europe,Frankfurt,338,6.92
130.162.239.33,443,443,true,FRA,Europe,Frankfurt,206,6.92
158.101.211.3,443,443,true,FRA,Europe,Frankfurt,270,6.91
79.72.76.57,443,443,true,FRA,Europe,Frankfurt,322,6.90
141.147.112.213,443,443,true,FRA,Europe,Frankfurt,223,6.89
144.24.243.207,443,443,true,ZRH,Europe,Zurich,443,6.89
150.230.126.101,443,443,true,FRA,Europe,Frankfurt,376,6.88
152.70.160.159,443,443,true,FRA,Europe,Frankfurt,244,6.86
193.123.56.116,443,443,true,FRA,Europe,Frankfurt,370,6.85
130.162.223.78,443,443,true,FRA,Europe,Frankfurt,276,6.84
158.180.17.229,443,443,true,FRA,Europe,Frankfurt,246,6.83
158.101.180.164,443,443,true,FRA,Europe,Frankfurt,370,6.82
141.147.75.9,443,443,true,FRA,Europe,Frankfurt,188,6.82
84.8.153.236,443,443,true,FRA,Europe,Frankfurt,390,6.81
130.162.212.233,443,443,true,FRA,Europe,Frankfurt,253,6.80
89.168.100.54,443,443,true,FRA,Europe,Frankfurt,280,6.79
150.230.22.37,443,443,true,FRA,Europe,Frankfurt,361,6.78
143.47.186.105,443,443,true,FRA,Europe,Frankfurt,311,6.76
84.235.160.141,443,443,true,FRA,Europe,Frankfurt,319,6.76
130.162.178.116,443,443,true,FRA,Europe,Frankfurt,305,6.73
141.147.95.5,443,443,true,FRA,Europe,Frankfurt,263,6.73
141.147.115.6,443,443,true,FRA,Europe,Frankfurt,175,6.72
193.123.60.89,443,443,true,FRA,Europe,Frankfurt,435,6.72
130.162.49.67,443,443,true,FRA,Europe,Frankfurt,181,6.70
144.21.32.33,443,443,true,FRA,Europe,Frankfurt,253,6.70
143.47.184.55,443,443,true,FRA,Europe,Frankfurt,271,6.70
193.123.57.144,443,443,true,FRA,Europe,Frankfurt,299,6.69
40.233.70.7,8443,443,true,YYZ,North America,Toronto,343,6.69
141.147.26.111,443,443,true,FRA,Europe,Frankfurt,280,6.69
141.144.194.175,443,443,true,FRA,Europe,Frankfurt,237,6.67
152.67.149.116,443,443,true,FRA,Europe,Frankfurt,357,6.67
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,254,6.67
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,268,6.65
138.2.134.189,443,443,true,FRA,Europe,Frankfurt,302,6.65
129.159.207.16,443,443,true,FRA,Europe,Frankfurt,256,6.63
150.230.126.52,443,443,true,FRA,Europe,Frankfurt,314,6.62
138.2.165.250,443,443,true,FRA,Europe,Frankfurt,293,6.59
152.70.51.171,443,443,true,FRA,Europe,Frankfurt,288,6.58
152.70.166.74,443,443,true,FRA,Europe,Frankfurt,253,6.57
79.72.78.207,443,443,true,FRA,Europe,Frankfurt,336,6.57
132.226.197.61,443,443,true,FRA,Europe,Frankfurt,324,6.57
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,315,6.54
130.162.55.141,443,443,true,FRA,Europe,Frankfurt,314,6.54
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,279,6.54
132.145.152.194,443,443,true,IAD,North America,Ashburn,452,6.53
84.235.163.45,443,443,true,FRA,Europe,Frankfurt,345,6.52
130.162.226.112,443,443,true,FRA,Europe,Frankfurt,272,6.52
84.235.170.73,443,443,true,AMS,Europe,Amsterdam,342,6.51
141.148.235.142,443,443,true,FRA,Europe,Frankfurt,319,6.51
141.144.231.52,443,443,true,FRA,Europe,Frankfurt,288,6.51
89.168.127.171,443,443,true,FRA,Europe,Frankfurt,294,6.51
141.147.94.250,443,443,true,FRA,Europe,Frankfurt,233,6.51
79.76.108.40,443,443,true,FRA,Europe,Frankfurt,259,6.51
152.70.52.68,443,443,true,FRA,Europe,Frankfurt,279,6.48
84.235.167.102,443,443,true,FRA,Europe,Frankfurt,254,6.48
130.162.53.92,443,443,true,FRA,Europe,Frankfurt,289,6.47
84.235.161.213,443,443,true,FRA,Europe,Frankfurt,233,6.47
140.238.127.236,443,443,true,FRA,Europe,Frankfurt,338,6.45
144.21.38.253,443,443,true,FRA,Europe,Frankfurt,270,6.45
193.123.59.101,443,443,true,FRA,Europe,Frankfurt,364,6.43
152.67.150.239,443,443,true,FRA,Europe,Frankfurt,518,6.37
158.178.153.80,2096,443,true,AMS,Europe,Amsterdam,407,6.35
79.76.101.73,443,443,true,FRA,Europe,Frankfurt,291,6.34
143.47.239.38,443,443,true,FRA,Europe,Frankfurt,316,6.34
84.235.166.184,443,443,true,FRA,Europe,Frankfurt,311,6.33
143.47.241.1,443,443,true,FRA,Europe,Frankfurt,250,6.32
158.101.211.57,443,443,true,FRA,Europe,Frankfurt,353,6.32
130.162.169.137,443,443,true,FRA,Europe,Frankfurt,249,6.32
141.147.103.241,443,443,true,FRA,Europe,Frankfurt,219,6.32
143.47.189.107,443,443,true,FRA,Europe,Frankfurt,246,6.31
141.148.242.78,443,443,true,FRA,Europe,Frankfurt,437,6.28
84.235.175.106,443,443,true,FRA,Europe,Frankfurt,295,6.27
130.162.234.160,443,443,true,FRA,Europe,Frankfurt,343,6.26
150.230.21.115,443,443,true,FRA,Europe,Frankfurt,339,6.26
84.235.160.136,443,443,true,FRA,Europe,Frankfurt,239,6.25
158.101.191.13,443,443,true,FRA,Europe,Frankfurt,443,6.25
130.162.190.166,443,443,true,FRA,Europe,Frankfurt,185,6.25
84.8.150.254,443,443,true,FRA,Europe,Frankfurt,417,6.25
158.178.159.209,443,443,true,FRA,Europe,Frankfurt,298,6.25
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,258,6.24
193.123.63.63,443,443,true,FRA,Europe,Frankfurt,570,6.24
79.72.66.15,443,443,true,FRA,Europe,Frankfurt,212,6.24
150.230.125.253,443,443,true,FRA,Europe,Frankfurt,366,6.24
143.47.231.148,443,443,true,FRA,Europe,Frankfurt,321,6.20
158.178.150.201,443,443,true,FRA,Europe,Frankfurt,445,6.19
84.8.156.13,443,443,true,FRA,Europe,Frankfurt,325,6.18
150.230.119.91,443,443,true,FRA,Europe,Frankfurt,291,6.18
141.147.88.35,443,443,true,FRA,Europe,Frankfurt,204,6.18
164.152.26.70,2086,443,true,ORD,North America,Chicago,274,6.17
138.2.106.166,443,443,true,SIN,Asia Pacific,Singapore,309,6.17
141.147.86.178,443,443,true,FRA,Europe,Frankfurt,197,6.16
144.21.58.18,443,443,true,FRA,Europe,Frankfurt,274,6.13
141.147.66.234,443,443,true,FRA,Europe,Frankfurt,230,6.11
141.147.71.104,443,443,true,FRA,Europe,Frankfurt,234,6.07
158.101.223.10,443,443,true,FRA,Europe,Frankfurt,355,6.05
130.162.165.49,443,443,true,FRA,Europe,Frankfurt,303,5.99
84.8.148.6,443,443,true,FRA,Europe,Frankfurt,318,5.97
130.162.187.140,443,443,true,FRA,Europe,Frankfurt,228,5.97
150.230.22.226,443,443,true,FRA,Europe,Frankfurt,432,5.96
141.148.226.23,443,443,true,FRA,Europe,Frankfurt,444,5.96
129.146.220.190,443,443,true,LAX,North America,Los Angeles,419,5.93
130.162.186.247,443,443,true,FRA,Europe,Frankfurt,337,5.93
